"BMC","RMC","BUMC_M10","AUMC_M10","BUMC_M25","AUMC_M25","BUMC_M50","AUMC_M50","BUMC_M100","AUMC_M100","truth","metric","parameters","t"
5.44767613894008,5.41464686222283,5.41703140671788,5.4155381118749,5.41630418704026,5.41699955585456,5.41642492957643,5.41640030441048,5.41653854801767,5.41630227695509,5.44,"mean","alphaP",29
-1.74566185311687,-1.74266364820964,-1.74016790064882,-1.74345745839832,-1.74306069387101,-1.73991976101358,-1.74191833502891,-1.7419380858118,-1.74312841821387,-1.74027362413954,-2,"mean","alphaPhi",29
7.68511857563803,7.65516351216739,7.66215831860592,7.66032569010903,7.66161227244632,7.65987399943898,7.66336236439889,7.65895591442065,7.66070932266506,7.6586884131394,7.4,"mean","alphaPsi",29
2.5771937619558,2.52197431391334,2.5194482021295,2.52219487330262,2.52106005416484,2.52363368115921,2.5225368351202,2.52200669855831,2.52108354957772,2.52240161466277,2,"mean","alphaPSig",29
4.11035041052523,4.096256529559,4.0926579154695,4.09540458664262,4.09426976750484,4.09684339449921,4.09574654846019,4.0952164118983,4.09429326291772,4.09561132800277,2,"mean","alphaPsiSig",29
3.69696593666747,3.66787233852233,3.67059589422214,3.66949861931923,3.67023043936308,3.66917286360099,3.67009031172997,3.66764112602738,3.66826871957684,3.66863174002973,3.74,"mean","betaP",29
1.03385968324541,1.02940550345281,1.02899061482119,1.0298262134787,1.03282822143661,1.02879416090544,1.02879665060185,1.03167936355276,1.03049080243147,1.02908644181957,1.5,"mean","betaPhi",29
-0.807804914231949,-0.810439863835941,-0.807294888037304,-0.80982277052554,-0.808588542590327,-0.809977155053296,-0.807205910233585,-0.809405611667845,-0.808338481809989,-0.809048031541543,-1.07,"mean","betaPsi",29
4.5134320899651,4.49670614598748,4.49382983865931,4.49382983865931,4.49382983865931,4.49382983865931,4.49382983865931,4.49382983865931,4.49382983865931,4.49382983865931,3,"mean","betaPSig",29
2.6116791891551,2.56476249246037,2.56754894107084,2.56754894107084,2.56754894107084,2.56754894107084,2.56754894107084,2.56754894107084,2.56754894107084,2.56754894107084,3,"mean","betaPsiSig",29
0.054857558639207,0.0539145275425335,0.054144181039071,0.0540648220409603,0.054092052549514,0.0541988141631693,0.0543169930944943,0.0542075441536248,0.0542661972892166,0.0541375502083649,0.05,"mean","colonisationProb",29
0.156855986437643,0.15560592580642,0.174410854096331,0.171202907367008,0.16914975563599,0.1793020679789,0.170729593806997,0.168970206744807,0.165379221329638,0.167508095246514,NA,"sd","alphaP",29
0.175350826119082,0.174768290654186,0.216114725068655,0.226449283248348,0.220173855655319,0.218402575380851,0.202302631285144,0.204568883246195,0.211471510745248,0.208700472766548,NA,"sd","alphaPhi",29
0.648433457321436,0.669878118809925,0.680401581659018,0.682800170389514,0.677243234122353,0.67935916539236,0.681535244140036,0.676255858248751,0.674993320012437,0.678314761914114,NA,"sd","alphaPsi",29
1.53538320437615,1.51427372648744,1.51257089779212,1.51356435967302,1.51215394955646,1.51090479197363,1.51449165447937,1.51386182552978,1.5138125353055,1.51332385158711,NA,"sd","alphaPSig",29
1.56364510538929,1.543201899907,1.53848378276968,1.5378054408348,1.53943942560124,1.53945158128577,1.53972107037186,1.53942359526101,1.53942480673044,1.53846146420205,NA,"sd","alphaPsiSig",29
0.206047624228488,0.206327379326438,0.224945037605833,0.231979860034701,0.221063006168786,0.232388728594966,0.216691202103169,0.224651083101089,0.218562358634284,0.219837438077032,NA,"sd","betaP",29
0.304955760284518,0.303562009931407,0.337677423557064,0.344840690341002,0.329662957345496,0.335826076586505,0.327596180253658,0.319195632448478,0.326365717087685,0.316076330159586,NA,"sd","betaPhi",29
1.03689788149049,1.04895484412208,1.05655575922236,1.05634278360301,1.05719835345656,1.05581457232744,1.0543389716953,1.05203903162662,1.05196927467048,1.05070826807349,NA,"sd","betaPsi",29
1.52785427179643,1.52939750454942,1.52725206293493,1.52725206293493,1.52725206293493,1.52725206293493,1.52725206293493,1.52725206293493,1.52725206293493,1.52725206293493,NA,"sd","betaPSig",29
1.64472709830513,1.61372916739866,1.61391023802777,1.61391023802777,1.61391023802777,1.61391023802777,1.61391023802777,1.61391023802777,1.61391023802777,1.61391023802777,NA,"sd","betaPsiSig",29
0.00370994768094381,0.00374286153994523,0.00761443632421033,0.00894776015371147,0.00719516883696197,0.00906230066585851,0.00915037651691807,0.00807266035791019,0.00794445188748453,0.00729792551376439,NA,"sd","colonisationProb",29
5.44767613894008,5.33065956768514,5.33842027171738,5.33877023544262,5.33140195032238,5.33546280414338,5.33422567103487,5.33772831954671,5.33231063298002,5.33345208451823,5.44,"mean","alphaP",25
-1.74566185311687,-1.7458200084235,-1.75294500501892,-1.74382011989451,-1.74150051553963,-1.74939830796507,-1.74463275774035,-1.74578024655289,-1.74882835136592,-1.74908728103539,-2,"mean","alphaPhi",25
7.68511857563803,7.44350067158456,7.44982875063485,7.45558363611111,7.4514852719636,7.44804391768018,7.45029004418083,7.4485439550138,7.44919680519077,7.45069300104856,7.4,"mean","alphaPsi",25
2.5771937619558,2.42822838144403,2.42950677766144,2.42964833734957,2.43231709645771,2.42789510298218,2.42594594460649,2.42685159977362,2.42838014126858,2.42916908598849,2,"mean","alphaPSig",25
4.11035041052523,3.9918846534819,3.99256624219768,3.99270780188581,3.99537656099394,3.99095456751841,3.98900540914272,3.98991106430985,3.99143960580482,3.99222855052472,2,"mean","alphaPsiSig",25
3.69696593666747,3.6211774556482,3.61863291025811,3.62367023708339,3.61357228849966,3.6199826722654,3.6201749780636,3.62118807946263,3.61973876239982,3.61963205428461,3.74,"mean","betaP",25
1.03385968324541,1.03274005255422,1.04074754015514,1.03136704071146,1.04062516933814,1.03651151053725,1.03060069620127,1.03743579009645,1.02891593406291,1.03808968811553,1.5,"mean","betaPhi",25
-0.807804914231949,-0.81129462776464,-0.811518779264848,-0.810698626693811,-0.808388331425074,-0.818089805637058,-0.818426842339257,-0.80722861994609,-0.811245647168746,-0.812700523692946,-1.07,"mean","betaPsi",25
4.5134320899651,4.4759106419263,4.47401682452505,4.47401682452505,4.47401682452505,4.47401682452505,4.47401682452505,4.47401682452505,4.47401682452505,4.47401682452505,3,"mean","betaPSig",25
2.6116791891551,2.48935649599572,2.4897114601639,2.4897114601639,2.4897114601639,2.4897114601639,2.4897114601639,2.4897114601639,2.4897114601639,2.4897114601639,3,"mean","betaPsiSig",25
0.054857558639207,0.0530194404037121,0.0515381708732309,0.0515682567375039,0.0519954820484158,0.0516395360079013,0.0525666985186122,0.052109283908485,0.0529314222978174,0.0523974739792463,0.05,"mean","colonisationProb",25
0.156855986437643,0.17200148028169,0.252186722768524,0.256946493777069,0.229098376375346,0.247527096021357,0.207762713066444,0.220422363641236,0.184247387762896,0.193502287202268,NA,"sd","alphaP",25
0.175350826119082,0.173710096855979,0.337625688943148,0.340266009827735,0.303623215155745,0.307081337621837,0.251294251039936,0.293533522315602,0.224950819276381,0.257300878176336,NA,"sd","alphaPhi",25
0.648433457321436,0.663846062789818,0.722437378272927,0.727368964938437,0.709661607118643,0.706387264328559,0.682252507631019,0.701417449951216,0.675373237532263,0.688486690485138,NA,"sd","alphaPsi",25
1.53538320437615,1.46771776720697,1.46566731297719,1.47082189760261,1.46904541912635,1.46648288639683,1.46439244998147,1.46462904536846,1.46753712415422,1.46843222595963,NA,"sd","alphaPSig",25
1.56364510538929,1.55638080204721,1.55817671191036,1.55026278305356,1.5562685255557,1.55420165812116,1.55480808113795,1.55610490009548,1.55716141919889,1.5555258222364,NA,"sd","alphaPsiSig",25
0.206047624228488,0.228621857830227,0.318639070429054,0.321218875682303,0.297408390935807,0.306234927915808,0.270223426979988,0.287515082589482,0.250053575541944,0.250769805018277,NA,"sd","betaP",25
0.304955760284518,0.299705837207549,0.413558475375913,0.41661104810321,0.397008575642161,0.398879495640624,0.348605547816803,0.373048772588349,0.320824488774604,0.347089889657396,NA,"sd","betaPhi",25
1.03689788149049,1.0700829271258,1.10365211770152,1.10190634707055,1.09842065353786,1.10274970653977,1.08181950670228,1.08860043908375,1.07729468231353,1.08812766244881,NA,"sd","betaPsi",25
1.52785427179643,1.56151460317107,1.56055456370476,1.56055456370476,1.56055456370476,1.56055456370476,1.56055456370476,1.56055456370476,1.56055456370476,1.56055456370476,NA,"sd","betaPSig",25
1.64472709830513,1.59705839906527,1.59994620198292,1.59994620198292,1.59994620198292,1.59994620198292,1.59994620198292,1.59994620198292,1.59994620198292,1.59994620198292,NA,"sd","betaPsiSig",25
0.00370994768094381,0.00389010778947659,0.0084151317777121,0.00958110183383871,0.00777356095793772,0.00763369350127334,0.00614037975862852,0.00690941150041159,0.00574202165413314,0.00635039678387555,NA,"sd","colonisationProb",25
